T (C),P (kbar),log10fO2,RedoxMode,olivine,CaO-1,MgO-1,FeO-1,MnO-1,CoO-1,NiO-1,SiO2-1,Mg#-1
1500,1,-8.66,IW,0,0,0,0,0,0,0,1,
1495,1,-8.71,IW,0,0,0,0,0,0,0,1,
1490,1,-8.75,IW,0,0,0,0,0,0,0,1,
1485,1,-8.79,IW,0,0,0,0,0,0,0,1,
1480,1,-8.84,IW,0,0,0,0,0,0,0,1,
1475,1,-8.88,IW,0,0,0,0,0,0,0,1,
1470,1,-8.92,IW,0,0,0,0,0,0,0,1,
1465,1,-8.97,IW,0,0,0,0,0,0,0,1,
1460,1,-9.01,IW,0,0,0,0,0,0,0,1,
1455,1,-9.06,IW,0,0,0,0,0,0,0,1,
1450,1,-9.1,IW,0,0,0,0,0,0,0,1,
1445,1,-9.15,IW,0,0,0,0,0,0,0,1,
1440,1,-9.19,IW,0,0,0,0,0,0,0,1,
1435,1,-9.24,IW,0,0,0,0,0,0,0,1,
1430,1,-9.28,IW,0,0,0,0,0,0,0,1,
1425,1,-9.33,IW,0,0,0,0,0,0,0,1,
1420,1,-9.38,IW,0,0,0,0,0,0,0,1,
1415,1,-9.42,IW,0,0,0,0,0,0,0,1,
1410,1,-9.47,IW,0,0,0,0,0,0,0,1,
1405,1,-9.52,IW,0,0,0,0,0,0,0,1,
1400,1,-9.57,IW,0,0,0,0,0,0,0,1,
1395,1,-9.62,IW,0,0,0,0,0,0,0,1,
1390,1,-9.66,IW,0,0,0,0,0,0,0,1,
1385,1,-9.71,IW,0,0,0,0,0,0,0,1,
1380,1,-9.76,IW,0,0,0,0,0,0,0,1,
1375,1,-9.81,IW,0,0,0,0,0,0,0,1,
1370,1,-9.86,IW,0,0,0,0,0,0,0,1,
1365,1,-9.91,IW,0,0,0,0,0,0,0,1,
1360,1,-9.96,IW,0,0,0,0,0,0,0,1,
1355,1,-10.01,IW,0,0,0,0,0,0,0,1,
1350,1,-10.06,IW,0,0,0,0,0,0,0,1,
1345,1,-10.11,IW,0,0,0,0,0,0,0,1,
1340,1,-10.16,IW,0,0,0,0,0,0,0,1,
1335,1,-10.22,IW,0,0,0,0,0,0,0,1,
1330,1,-10.27,IW,0,0,0,0,0,0,0,1,
1325,1,-10.32,IW,0,0,0,0,0,0,0,1,
1320,1,-10.37,IW,0,0,0,0,0,0,0,1,
1315,1,-10.43,IW,0,0,0,0,0,0,0,1,
1310,1,-10.48,IW,0,0,0,0,0,0,0,1,
1305,1,-10.53,IW,0,0,0,0,0,0,0,1,
1300,1,-10.59,IW,0,0,0,0,0,0,0,1,
1295,1,-10.64,IW,0,0,0,0,0,0,0,1,
1290,1,-10.7,IW,0,0,0,0,0,0,0,1,
1285,1,-10.75,IW,0,0,0,0,0,0,0,1,
1280,1,-10.81,IW,0,0,0,0,0,0,0,1,
1275,1,-10.86,IW,0,0,0,0,0,0,0,1,
1270,1,-10.92,IW,0,0,0,0,0,0,0,1,
1265,1,-10.98,IW,0,0,0,0,0,0,0,1,
1260,1,-11.03,IW,0,0,0,0,0,0,0,1,
1255,1,-11.09,IW,0,0,0,0,0,0,0,1,
1250,1,-11.15,IW,0,0,0,0,0,0,0,1,
1245,1,-11.2,IW,0,0,0,0,0,0,0,1,
1240,1,-11.26,IW,0,0,0,0,0,0,0,1,
1235,1,-11.32,IW,0,0,0,0,0,0,0,1,
1230,1,-11.38,IW,0,0,0,0,0,0,0,1,
1225,1,-11.44,IW,0,0,0,0,0,0,0,1,
1220,1,-11.5,IW,0,0,0,0,0,0,0,1,
1215,1,-11.56,IW,0.23,0.00749172,0.468496,0.12478,0,0,0,0.399233,87
1210,1,-11.62,IW,1.76,0.00746028,0.461167,0.133814,0,0,0,0.397558,86
1205,1,-11.68,IW,3.16,0.00746028,0.461167,0.133814,0,0,0,0.397558,86
1200,1,-11.74,IW,4.43,0.00746028,0.461167,0.133814,0,0,0,0.397558,86
