T (C),P (kbar),log10fO2,RedoxMode,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,H2O,CO2,SO3,Cl2O,F2O,Melts,olivine,clinopyroxene,feldspar,spinel,Minerals
1500,1,-8.66,IW,48.53,1.01,17.59,0.36,0.04,8.04,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1495,1,-8.71,IW,48.53,1.01,17.59,0.36,0.04,8.04,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1490,1,-8.75,IW,48.53,1.01,17.59,0.36,0.04,8.04,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1485,1,-8.79,IW,48.53,1.01,17.59,0.36,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1480,1,-8.84,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1475,1,-8.88,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1470,1,-8.92,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1465,1,-8.97,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1460,1,-9.01,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1455,1,-9.06,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1450,1,-9.1,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1445,1,-9.15,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1440,1,-9.19,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1435,1,-9.24,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1430,1,-9.28,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1425,1,-9.33,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1420,1,-9.38,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1415,1,-9.42,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1410,1,-9.47,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1405,1,-9.52,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1400,1,-9.57,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1395,1,-9.62,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1390,1,-9.66,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1385,1,-9.71,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1380,1,-9.76,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1375,1,-9.81,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1370,1,-9.86,IW,48.53,1.01,17.59,0.35,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1365,1,-9.91,IW,48.53,1.01,17.59,0.34,0.04,8.05,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1360,1,-9.96,IW,48.53,1.01,17.59,0.34,0.04,8.06,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1355,1,-10.01,IW,48.53,1.01,17.59,0.34,0.04,8.06,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
1350,1,-10.06,IW,48.53,1.01,17.59,0.34,0.04,8.06,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,99.95,0,0,0,0,0
