T (C),P (kbar),log10fO2,RedoxMode,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,H2O,CO2,SO3,Cl2O,F2O,Melts,olivine,clinopyroxene,feldspar,spinel,Minerals
1500,1,-6.51,mass,48.5,1.01,17.58,0.89,0.04,7.56,0,9.07,0,0,12.41,2.64,0.03,0.08,0.2,0,0,0,0,2.63,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0
,,,mass,,,,0.01,,,,3.93,,,,,,,,,-175.04,,,,0,0,0,0,0
,,,mass,,,,1.47,,,,2.68,,,,,,,,,-25653.4,,,,0,0,0,0.01,0.01
